Case Number,Species ,Length,
2016.03.10,,,
2016.03.04,,,
2016.03.03.R,Bronze whaler,,
2016.03.02,Sandtiger shark,,
2016.02.22,,,
2016.02.19,,,
2016.02.12,,,
2016.02.10.R,,,
2016.02.10,,3 m,
2016.02.05,,,
2016.02.04,,,
2016.01.29,,,
2016.01.28,Reef shark, 5',
2016.01.25,,,
2016.01.24.b,Bull sharks,,
2016.01.24.a,Mako shark,,
2016.01.23,Tiger shark, 14',
2016.01.05,Blacktip shark,,
2016.01.02,,3 m shark,
2015.12.26,White shark, 3 m,
2015.12.25,Silky shark, 6.5',
2015.12.22,,9' shark,
2015.12.21.b,Bronze whaler shark, 6',
2015.12.21.a,Tiger shark, 1.5 m ,
2015.12.19,,,
2015.12.13,White shark, 3.5 m,
2015.12.11,Bull shark,,
2015.12.08,,,
2015.11.20,Galapgos shark,,
2015.11.16,,,
2015.11.15.b,,,
2015.11.15.a,Spinner shark, 7',
2015.11.10,Bull shark, 2.8 to 3.1 m,
2015.12.23,,,
2015.11.03,,,
2015.11.01.b,,3' to 5' shark,
2015.11.01.a,,,
2015.10.30,,,
2015.10.28.a,,,
2015.10.25,White shark, 3 to 3.5m ,
2015.10.21,,5' shark,
2015.10.19,Spinner shark, 5',
2015.10.17.c,,,
2015.10.17.b,,,
2015.10.17.a,Tiger shark, 7',
2015.10.13,Hammerhead sp.,,
2015.10.09.b,,,
2015.10.09.a,Tiger shark, 13' ,
2015.10.08,,,
2015.10.07,,,
2015.10.05.b,,,
2015.10.05.a,,4' to 5' shark,
2015.10.04,Blacktip shark, 4' to 5',
2015.09.29,Blacktip shark, 5' to 6',
2015.09.26,,,
2015.09.24,White shark, 19',
2015.09.20.d,juvenile shark,,
2015.09.20.c,Tiger shark, 13',
2015.09.20.b,,4' shark,
2015.09.20.a,,,
2015.09.18,,,
2015.09.17,,,
2015.09.08,,6' shark,
2015.09.06,White shark, 11' to 12',
2015.09.05,Hammerhead shark.,,
2015.09.04,White shark, 2.5 m,
2015.09.03,,4' shark?,
2015.09.01,small shark,,
2015.09.00,Tiger shark,,
2015.08.29.b,White shark, 11' to 12',
2015.08.29.a,White shark, 10' to 12' ,
2015.08.22.b,,,
2015.08.22.a,,,
2015.08.20,,4' shark,
2015.08.19,,3' shark,
2015.08.18.b,White shark, 13',
2015.08.18.a,,,
2015.08.10,Hammerhead shark, 6' to 7',
2015.07.31,White shark,,
2015.07.26.b,Blacktip or spinner shark, 4',
2015.07.26.a,,3' to 4' shark,
2015.07.25,White shark,,
2015.07.23.b,Mako shark, 100-lb,
2015.07.23.a,Bronze whaler shark, 1.5m,
2015.07.22,Bull shark, 2m,
2015.07.19,White shark,,
2015.07-10,White shark, 7',
2015.07.08,,,
2015.07.06,,,
2015.07.04.b,,6' shark,
2015.07.04.a,,,
2015.07.03,White shark,,
2015.07.02,White shark,,
2015.07.01,,6' to 7' shark,
2015.06.30.b,,,
2015.06.30.a,,4' to 5' shark,
2015.06.27.b,Bull shark,,
2015.06.27.a,White shark,,
2015.06.26.c,,,
2015.06.26.b,White shark, 2m to 3 m,
2015.06.26.a,,4' shark,
2015.06.25.R,Wobbegong shark,,
2015.06.25,,,
2015.06.24.b,Sandtiger shark,,
2015.06.24.a,,,
2015.06.23,small shark,,
2015.06.19,,,
2015.06.17,,,
2015.06.14.b,Bull shark,,
2015.06.14.a,Bull shark,,
2015.06.13,Mako shark,,
2015.06.11,,4' shark,
2015.06.07,Bull shark, 5',
2015.06.05,small nurse shark,,
2015.06.01,Bull shark, 2.5 m,
2015.05.29.b,,,
2015.05.29.a,,,
2015.05.25,,1m to 1.2 m shark,
2015.05.20,,5' shark,
2015.05.24,,,
2015.05.09,Bull shark, 3.5 m,
2015.05.15,,6' shark,
2015.05.07,,,
2015.05.03,White shark,,
2015.05.02,White shark, 3.5 m,
2015.04.29,,,
2015.04.26,,3- to 4-foot shark,
2015.04.25,White shark, 6 m,
2015.04.24.c,White shark, 3 m,
2015.04.13,Blue shark, 8 to 9 feet,
2015.04.12,Bull shark,,
2015.04.11,,,
2015.04.03,Bull shark,,
2015.03.31,,,
2015.03.29,,,
2015.03.26,White shark, 4 m,
2015.03.21,Mako shark,,
2015.03.18,Tiger shark, 8 to 12 feet,
2015.03.16,Blacktip shark,,
2015.03.11,,,
2015.03.10,,,
2015.03.07,Blacktip Reef shark ,,
2015.02.15,White shark,,
2015.02.14,Tiger shark, 3.5 m,
2015.02.09,,3.5 to 4 m shark,
2015.02.08,,2 m to  3 m shark,
2015.02.05,,1.8 m shark,
2015.01.30,Bull shark, 1.3 m,
2015.01.27,,4' shark,
2015.01.24,,,
2015.01.19.b,White shark,,
2015.01.19.a,,,
2015.01.17,,5 m shark,
2015.01.16,,1.5 m shark,
2015.01.08,,,
2015.01.06,White shark or oceanic whitetip shark,,
2015.01.03,Raggedtooth shark, 1.3 m,
2015.01.01,A small shark,,
2014.12.29.a,White shark, 4 to 5 m,
2014.12.29.b,,2 m shark,
2014.12.28.d,,,
2014.12.28.c,,,
2014.12.28.b,White shark, 8' to 10',
2014.12.28.a,,1.5 m shark,
2014.12.23.R,Goblin shark,,
2014.12.15,,,
2014.12.03.R,,,
2014.11.29,,,
2014.11.20,,,
2014.11.19,White shark,,
2014.11.17,White shark,,
2014.11.16,,2' shark,
2014.11.10,,,
2014.11.13,,1.5 m shark,
2014.11.08,,,
2014.10.31,Tiger shark, 12',
2014.10.30,,,
2014.10.22,Tiger shark,,
2014.10.20,,,
2014.10.19,,,
2014.10.18,,12' to 14' shark,
2014.10.17,,1 m shark,
2014.10.14,Bull shark, 3' to 4',
2014.10.12,,,
2014.10.11,,,
2014.10.07,,,
2014.10.05.b,Blacktip shark,,
2014.10.05.a,Blacktip shark,,
2014.10.03.b,White shark, 18' to 20',
2014.10.03.a,White shark,,
2014.10.02.b,,8' to 10' shark,
2014.10.02.a,2 white shark," 13' & 9""8""",
2014.09.21,,,
2014.09.13.R,Blacktip shark,,
2014.09.13,,,
2014.09.09,,7' shark,
2014.09.06,Bull shark,,
2014.09.03,White shark, 12' to 14',
2014.09.02,,3' to 4' shark,
2014.09.00,,,
2014.08.31,Spinner shark,,
2014.08.29.b,Spinner shark or blacktip shark,,
2014.08.29.a,,,
2014.08.28,,,
2014.08.27.c,small shark,,
2014.08.27.b,,4' to 6' shark,
2014.08.27.a,,,
2014.08.25,Bull shark, 4.5' ,
2014.08.24,,4' shark,
2014.08.16,reef shark,,
2014.08.12, Bull shark, 8',
2014.08.10,,,
2014.08.09.R,Bull shark, 9' to 10',
2014.08.09,,,
2014.08.08, Bull shark, 5',
2014.08.06,,4' tp 5' shark,
2014.08.05,,,
2014.08.02,,,
2014.08.02,,,
2014.08.01,White shark,,
2014.08.00,,,
2014.07.27,Possibly juvenile tiger shark,,
2014.07.22,,1.8 metre shark,
2014.07.21,,,
2014.07.20,Angel shark,,
2014.07.16,,6' to 8' shark,
2014.07.14,,4' shark,
2014.07.13,,,
2014.07.12,,,
2014.07.09,,,
2014.07.05.b, White shark, 7' ,
2014.07.05.a,,,
2014.07.03,,4' to 5' shark,
2014.06.27.R,Oceanic whitetip shark',,
2014.06.25,Caribbean reef shark, 7' to 8',
2014.06.18.b,,,
2014.06.18.a,,,
2016.01.11.R,Wobbegong shark,,
2014.06.17.R, Lemon shark, 3.5 m,
2014.06.09.c,,,
2014.06.09.b, Sandbar shark, 3' to 4',
2014.06.09.a,Bronze whaler shark, 1.5m,
2014.06.08,,,
2014.06.07,,,
2014.06.01.c,Bull shark,,
2014.06.01.b,,,
2014.06.01.a,Blacktip Reef shark ,,
2014.05.27.R, Bull shark, 1.2m ,
2014.05.23,,3m shark,
2014.05.22, Tawney nurse shark, 1m,
2014.05.15,,,
2014.05.14, white shark, 15' ,
2014.05.13,,,
2014.05.11,,,
2014.05.10.R,,,
2014.05.06,,4' to 5' shark,
2014.05.01,,3' shark,
2014.04.24,reef shark?,,
2014.04.22,,,
2014.04.12.R,White shark,,
2014.04.15,,,
2014.04.12, Raggedtooth shark, 2m,
2014.04.04.b,,,
2014.04.04.a,,,
2014.04.03,white shark,3 m to 4 m ,
2014.03.29,,,
2014.03.22.b,,2 m shark,
2014.03.22.a,,4' to 5' shark,
2014.03.21,,,
2014.03.18.c,,,
2014.03.18.b,,,
2014.03.18,,,
2014.03.13,,,
2014.03.12,Wobbegong shark,,
2014.03.02,Blacktip or spinner shark?,,
2014.02.20,Blacktip reef shark ,,
2014.02.17,,,
2014.02.08,,,
2014.02.07.b,,,
2014.02.07,7-gill shark?,,
2014.01.26,,1m shark,
2014.01.25,7-gill shark,,
2014.01.04,,,
2014.00.00,White shark, 6 m,
2013.12.25,bull shark,,
2013.12.16,White shark, 3m ,
2013.12.13,,,
2013.12.11,Tiger shark, 10' to 12',
2013.12.10,,4' to 6' shark,
2013.12.05, Wobbegong shark, 1.6 to 1.8m ,
2013.12.02,,,
2013.11.30,Tiger shark, 3m ,
2013.11.29,,,
2013.11.23.a,white shark,,
2013.11.22,White shark, 10 ',
2013.11.12,white shark,,
2013.11.10,,,
2013.11.07.b,,,
2013.11.07.a,,,
2013.10.31,Tiger shark,,
2013.10.28,Blacktip reef shark, 1m,
2013.10.26.b,bull shark,,
2013.10.26.a,white shark,4 m ,
2013.10.24,Wobbegong shark,,
2013.10.23,Whitetip reef shark, 4' to 6',
2013.10.20,Tiger shark,,
2013.10.19,Nurse shark?,,
2013.10.11,White shark,,
2013.10.08,White shark,,
2013.10.05,White shark, 8' to 10',
2013.10.05,Small bull shark,,
2013.09.29.b,,,
2013.09.29.a,,,
2013.09.25,,,
2013.09.21.b,,,
2013.09.21.a,,,
2013.09.14,Bull shark,,
2013.09.12,,3' shark,
2013.09.08,,,
2013.09.07.b,,3' shark,
2013.09.07.a,,3' shark,
2013.09.02,,,
2013.09.01.c,Nurse shark,,
2013.09.01.b,,,
2013.09.01.a,,4' shark,
2013.08.31.b,Blacktip shark,,
2013.08.31.a,Salmon shark,,
2013.08.29,,,
2013.08.26,Mako shark, 5',
2013.08.25.b,,,
2013.08.25,,,
2013.08.18,,,
2013.08.17,White shark,,
2013.08.14,Tiger shark?,,
2013.08.13,,,
2013.08.11,Bull shark, 8',
2013.08.08.R,Blacktip shark,,
2013.08.05,Bull shark, 6' to 8',
2013.07.31,,,
2013.07.30,,,
2013.07.29.c,,6' shark,
2013.07.29.b,,,
2013.07.29.a,Tiger shark, 8' to 10' ,
2013.07.28.b,Nurse shark,,
2013.07.28.a,,,
2013.07.22,,,
2013.07.19,,,
2013.07.17.R,,,
2013.07.15,,,
2013.07.14,,,
2013.07.11,,,
2013.07.09,,,
2013.07.02,,,
2013.06.30,,,
2013.06.27,,,
2013.06.25.c,White shark,,
2013.06.25.b,Possibly a Bull shark, 3',
2013.06.25.a,,4' to 5' shark,
2013.06.18,Tiger shark, 14',
